query_id,query_text,tau,k,relevance_recall,qrel_hits,qrel_relevant_count
1,what is the origin of COVID-19,0.4,10,0.2,2,637
1,what is the origin of COVID-19,0.5,10,0.2,2,637
1,what is the origin of COVID-19,0.55,10,0.2,2,637
1,what is the origin of COVID-19,0.6,10,0.2,2,637
1,what is the origin of COVID-19,0.65,10,0.2,2,637
1,what is the origin of COVID-19,0.7,10,0.2,2,637
1,what is the origin of COVID-19,0.8,10,0.2,2,637
1,what is the origin of COVID-19,1.0,10,0.1,1,637
10,has social distancing had an impact on slowing the spread of COVID-19?,0.4,10,0.1,1,475
10,has social distancing had an impact on slowing the spread of COVID-19?,0.5,10,0.2,2,475
10,has social distancing had an impact on slowing the spread of COVID-19?,0.55,10,0.1,1,475
10,has social distancing had an impact on slowing the spread of COVID-19?,0.6,10,0.1,1,475
10,has social distancing had an impact on slowing the spread of COVID-19?,0.65,10,0.1,1,475
10,has social distancing had an impact on slowing the spread of COVID-19?,0.7,10,0.1,1,475
10,has social distancing had an impact on slowing the spread of COVID-19?,0.8,10,0.1,1,475
10,has social distancing had an impact on slowing the spread of COVID-19?,1.0,10,0.2,2,475
11,what are the guidelines for triaging patients infected with coronavirus?,0.4,10,0.3,3,415
11,what are the guidelines for triaging patients infected with coronavirus?,0.5,10,0.3,3,415
11,what are the guidelines for triaging patients infected with coronavirus?,0.55,10,0.3,3,415
11,what are the guidelines for triaging patients infected with coronavirus?,0.6,10,0.3,3,415
11,what are the guidelines for triaging patients infected with coronavirus?,0.65,10,0.3,3,415
11,what are the guidelines for triaging patients infected with coronavirus?,0.7,10,0.3,3,415
11,what are the guidelines for triaging patients infected with coronavirus?,0.8,10,0.3,3,415
11,what are the guidelines for triaging patients infected with coronavirus?,1.0,10,0.3,3,415
12,what are best practices in hospitals and at home in maintaining quarantine?,0.4,10,0.6,6,616
12,what are best practices in hospitals and at home in maintaining quarantine?,0.5,10,0.6,6,616
12,what are best practices in hospitals and at home in maintaining quarantine?,0.55,10,0.6,6,616
12,what are best practices in hospitals and at home in maintaining quarantine?,0.6,10,0.6,6,616
12,what are best practices in hospitals and at home in maintaining quarantine?,0.65,10,0.7,7,616
12,what are best practices in hospitals and at home in maintaining quarantine?,0.7,10,0.7,7,616
12,what are best practices in hospitals and at home in maintaining quarantine?,0.8,10,0.7,7,616
12,what are best practices in hospitals and at home in maintaining quarantine?,1.0,10,0.7,7,616
13,what are the transmission routes of coronavirus?,0.4,10,0.4,4,867
13,what are the transmission routes of coronavirus?,0.5,10,0.4,4,867
13,what are the transmission routes of coronavirus?,0.55,10,0.4,4,867
13,what are the transmission routes of coronavirus?,0.6,10,0.3,3,867
13,what are the transmission routes of coronavirus?,0.65,10,0.3,3,867
13,what are the transmission routes of coronavirus?,0.7,10,0.3,3,867
13,what are the transmission routes of coronavirus?,0.8,10,0.3,3,867
13,what are the transmission routes of coronavirus?,1.0,10,0.3,3,867
14,what evidence is there related to COVID-19 super spreaders,0.4,10,0.1,1,255
14,what evidence is there related to COVID-19 super spreaders,0.5,10,0.3,3,255
14,what evidence is there related to COVID-19 super spreaders,0.55,10,0.3,3,255
14,what evidence is there related to COVID-19 super spreaders,0.6,10,0.3,3,255
14,what evidence is there related to COVID-19 super spreaders,0.65,10,0.3,3,255
14,what evidence is there related to COVID-19 super spreaders,0.7,10,0.3,3,255
14,what evidence is there related to COVID-19 super spreaders,0.8,10,0.4,4,255
14,what evidence is there related to COVID-19 super spreaders,1.0,10,0.3,3,255
15,how long can the coronavirus live outside the body,0.4,10,0.3,3,423
15,how long can the coronavirus live outside the body,0.5,10,0.3,3,423
15,how long can the coronavirus live outside the body,0.55,10,0.3,3,423
15,how long can the coronavirus live outside the body,0.6,10,0.3,3,423
15,how long can the coronavirus live outside the body,0.65,10,0.3,3,423
15,how long can the coronavirus live outside the body,0.7,10,0.3,3,423
15,how long can the coronavirus live outside the body,0.8,10,0.3,3,423
15,how long can the coronavirus live outside the body,1.0,10,0.3,3,423
16,how long does coronavirus remain stable  on surfaces?,0.4,10,1.0,10,387
16,how long does coronavirus remain stable  on surfaces?,0.5,10,1.0,10,387
16,how long does coronavirus remain stable  on surfaces?,0.55,10,1.0,10,387
16,how long does coronavirus remain stable  on surfaces?,0.6,10,1.0,10,387
16,how long does coronavirus remain stable  on surfaces?,0.65,10,1.0,10,387
