query_id,query_text,tau,k,ndcg
1,what is the origin of COVID-19,0.4,10,0.09949667842558517
1,what is the origin of COVID-19,0.5,10,0.09781856279914673
1,what is the origin of COVID-19,0.55,10,0.09781856279914673
1,what is the origin of COVID-19,0.6,10,0.09781856279914673
1,what is the origin of COVID-19,0.65,10,0.09781856279914673
1,what is the origin of COVID-19,0.7,10,0.09781856279914673
1,what is the origin of COVID-19,0.8,10,0.09544866325082307
1,what is the origin of COVID-19,1.0,10,0.07336392209936006
10,has social distancing had an impact on slowing the spread of COVID-19?,0.4,10,0.07336392209936006
10,has social distancing had an impact on slowing the spread of COVID-19?,0.5,10,0.14201905717762703
10,has social distancing had an impact on slowing the spread of COVID-19?,0.55,10,0.085143117641621
10,has social distancing had an impact on slowing the spread of COVID-19?,0.6,10,0.085143117641621
10,has social distancing had an impact on slowing the spread of COVID-19?,0.65,10,0.085143117641621
10,has social distancing had an impact on slowing the spread of COVID-19?,0.7,10,0.085143117641621
10,has social distancing had an impact on slowing the spread of COVID-19?,0.8,10,0.07839826897867534
10,has social distancing had an impact on slowing the spread of COVID-19?,1.0,10,0.13305201013572895
11,what are the guidelines for triaging patients infected with coronavirus?,0.4,10,0.37642513073830514
11,what are the guidelines for triaging patients infected with coronavirus?,0.5,10,0.37642513073830514
11,what are the guidelines for triaging patients infected with coronavirus?,0.55,10,0.37642513073830514
11,what are the guidelines for triaging patients infected with coronavirus?,0.6,10,0.37642513073830514
11,what are the guidelines for triaging patients infected with coronavirus?,0.65,10,0.37642513073830514
11,what are the guidelines for triaging patients infected with coronavirus?,0.7,10,0.37642513073830514
11,what are the guidelines for triaging patients infected with coronavirus?,0.8,10,0.37642513073830514
11,what are the guidelines for triaging patients infected with coronavirus?,1.0,10,0.37642513073830514
12,what are best practices in hospitals and at home in maintaining quarantine?,0.4,10,0.3855413434232143
12,what are best practices in hospitals and at home in maintaining quarantine?,0.5,10,0.3855413434232143
12,what are best practices in hospitals and at home in maintaining quarantine?,0.55,10,0.3855413434232143
