query_id,query_text,tau_method,rank,cve_id,title,score
1,integer overflow leading to heap corruption in video codec,Cosine,1,CVE-2025-14740,Docker Desktop for Windows Incorrect Permission Assignment Privilege Escalation Vulnerabilities,0.878949
1,integer overflow leading to heap corruption in video codec,Cosine,2,CVE-2026-24516,(no title),0.872614
1,integer overflow leading to heap corruption in video codec,Cosine,3,CVE-2026-32892,OS Command Injection in Chamilo LMS 1.11.36,0.870510
1,integer overflow leading to heap corruption in video codec,Cosine,4,CVE-2025-40362,ceph: fix multifs mds auth caps issue,0.865952
1,integer overflow leading to heap corruption in video codec,Cosine,5,CVE-2026-32310,Cryptomator: Unverified masterkeyfile key IDs can access arbitrary local or UNC paths,0.864884
1,integer overflow leading to heap corruption in video codec,Cosine,6,CVE-2025-62156,argo-workflows Zip Slip path traversal allows arbitrary file write and container configuration overwrite,0.864463
1,integer overflow leading to heap corruption in video codec,Cosine,7,CVE-2022-23653,B2 Command Line Tool TOCTOU application key disclosure ,0.863631
1,integer overflow leading to heap corruption in video codec,Cosine,8,CVE-2020-5846,(no title),0.859653
1,integer overflow leading to heap corruption in video codec,Cosine,9,CVE-2026-3335,Canto <= 3.1.1 - Missing Authorization to Unauthenticated File Upload,0.858352
1,integer overflow leading to heap corruption in video codec,Cosine,10,CVE-2019-9745,(no title),0.857089
1,integer overflow leading to heap corruption in video codec,Cosine,11,CVE-2025-45582,(no title),0.856933
1,integer overflow leading to heap corruption in video codec,Cosine,12,CVE-2025-66480,Wildfire has Arbitrary File Upload via Directory Traversal in UploadFileAction,0.856807
1,integer overflow leading to heap corruption in video codec,Cosine,13,CVE-2023-22809,(no title),0.856204
1,integer overflow leading to heap corruption in video codec,Cosine,14,CVE-2026-24046,Backstage has a Possible Symlink Path Traversal in Scaffolder Actions,0.855610
1,integer overflow leading to heap corruption in video codec,Cosine,15,CVE-2023-41044,Partial path traversal vulnerability in Support Bundle feature of Graylog,0.855054
1,integer overflow leading to heap corruption in video codec,Cosine,16,CVE-2022-31195,Path traversal vulnerability in Simple Archive Format package import in DSpace,0.854015
1,integer overflow leading to heap corruption in video codec,Cosine,17,CVE-2026-33663,n8n Vulnerable to Credential Theft via Name-Based Resolution and Permission Checker Bypass in Community Edition,0.853424
1,integer overflow leading to heap corruption in video codec,Cosine,18,CVE-2020-6754,(no title),0.853192
1,integer overflow leading to heap corruption in video codec,Cosine,19,CVE-2023-50260,Wazuh's vulnerability in host_deny AR script allows arbitrary command execution,0.852950
1,integer overflow leading to heap corruption in video codec,Cosine,20,CVE-2007-0345,(no title),0.852867
1,integer overflow leading to heap corruption in video codec,Cosine,21,CVE-2021-32635,Action Commands (run/shell/exec) Against Library URIs Ignore Configured Remote Endpoint,0.852633
